prompt_id,source,prompt_preview,ambiguity_reason
lh-0086,labeled_history.csv,review recent git commits for the last few weeks to get a sense of where we are,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0131,labeled_history.csv,apply the foundation and eks layers,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0135,labeled_history.csv,Talke to me more about this: SMTP secret/file changes are safe sync operations,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0141,labeled_history.csv,can you look at the logs in cloudwatch going back a month and a half on us-east-2 for issues with dns and cilium,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0143,labeled_history.csv,these types of cilium/dns issues happen everytime we make pod changes,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0144,labeled_history.csv,review git log history I thought we started out with nodelocal dns,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0151,labeled_history.csv,WAF needs to restrict access to gitlab to USA addresses only,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0156,labeled_history.csv,create a new document with this information include current dates and refrences to commits in the git log. I want to be ,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0157,labeled_history.csv,"lets focus strictly on internal dns, with cilium and coredns, and nodelocal dns  I want to have a focused discussion wit",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0160,labeled_history.csv,can you review the git logs and see if you can determine why we are using Cilium vs  AWS VPC CNI,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0163,labeled_history.csv,if we switch is CoreDNS still needed.. does it provide any long term value?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0164,labeled_history.csv,ok but does AWS provide any native solutions that solve the same issues as CoreDNS?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0165,labeled_history.csv,do we have the proper plugins for CoreDNS to function optimally in our setup?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0172,labeled_history.csv,"so I think some of the cilium came from doing adverserial reviews, so I think that is one place that needs updated to ha",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0178,labeled_history.csv,run the .claude\plans\cilium-removal-2026-01-08.md plan,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0200,labeled_history.csv,can you create a make status makefile target that runs a script to determine status of the deployment and its services,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0211,labeled_history.csv,why are we using a container with cron and not k8s native CronJobs,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0213,labeled_history.csv,does it really solve the issue of providing access to the k8s api,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0224,labeled_history.csv,apply the terraform changes,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0262,labeled_history.csv,"before we sign out of the current prod, is gitlab-projects.yaml upto date?",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0288,labeled_history.csv,"""C:\Projects\Work\Gitlab\eisa-gitlab-prod"" not using ironbank images everywhere?",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0328,labeled_history.csv,can we create C:\Projects\Work\Gitlab\Migration\ and start checking out all the repos in gitlab-projects.yaml to that di,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0329,labeled_history.csv,"I already placed a copy of the eisa repo at ""C:\Projects\Work\Gitlab\Migration\teams\ui\eisa"" so you do not need to chec",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0330,labeled_history.csv,"which of those repos has gitlab ci builds defined, uses docker or docker compose, and of those which have references to ",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0389,labeled_history.csv,"do you have api access to the new gitlab.prod. instance and is that enough to see what is going on, or would having glab",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0404,labeled_history.csv,can you copy the webshare values from the .env here into: # ~/.dotfiles/.secrets (works for both shells)   export WEBSHA,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0423,labeled_history.csv,"The SSH endpoint is ssh.gitlab.prod.teams-sddc-dev.com, NOT gitlab.prod.teams-sddc-dev.com...why is it not the same?",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0450,labeled_history.csv,"If a repo does not have a gitlab ci defined already, just push as is going forward. update whatever documents need updat",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0460,labeled_history.csv,disable specific stages (deploy only) can we create a global variable that disables these stages until that varable is u,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0532,labeled_history.csv,"did we address this issue: ""Same race condition"" do we need to break up the deployments in to steps with wait scripts to",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0552,labeled_history.csv,"Once images are synced and us-east-1 is decommissioned, just remove the aws_ecr_replication_configuration resource and t",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0556,labeled_history.csv,"Yesterday, I asked you to use security reviewers to review our EKS Node Migration Plan. Can you look back through your H",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0558,labeled_history.csv,check the cloudwatch logs and see if there are any logging/monitoring of cpu or memory usage by ec2 nodes that are activ,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0584,labeled_history.csv,we just had another dind race condition failure in a build pipeline,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0615,labeled_history.csv,what would someone need to start deploying helm charts to this new cluster?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0643,labeled_history.csv,"I think we are using xlarge, did you just make those recent changes up or did you confirm what is in the terraform files",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0649,labeled_history.csv,can you bring things here inline with what is deployed?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0660,labeled_history.csv,what is the current state and load of the gitlab cluster right now?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0662,labeled_history.csv,what does the eks cluster load look like?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0690,labeled_history.csv,so what is the full status for all mps repo pipelines?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0696,labeled_history.csv,"that's not going to work, how do I auth the aws cli using my regular login?",DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0697,labeled_history.csv,what is the downtime risk to gitlab?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
lh-0780,labeled_history.csv,what would a gitlab ci section look like to pull ironbank images?,DevOps/Kubernetes context-dependent: cheapest route depends on implicit operational context not present in prompt text alone
